# x1 y1
-3.5 -0.999999338329936
-3.43 -0.999998891293475
-3.36 -0.999998160123474
-3.29 -0.999996976154243
-3.22 -0.999995078115132
-3.15 -0.999992065744858
-3.08 -0.999987332647356
-3.01 -0.999979970380606
-2.94 -0.999968633296649
-2.87 -0.999951350692202
-2.8 -0.99992526941427
-2.73 -0.999886306294505
-2.66 -0.999828685859756
-2.59 -0.999744335013128
-2.52 -0.999622103286331
-2.45 -0.999446775494725
-2.38 -0.999197844032463
-2.31 -0.99884801164909
-2.24 -0.998361403500862
-2.17 -0.997691480762214
-2.1 -0.99677866822126
-2.03 -0.995547735911152
-1.96 -0.993905010308252
-1.89 -0.991735533591305
-1.82 -0.989998868359925
-1.75 -0.98675925236378
-1.68 -0.982625271417585
-1.61 -0.977401000930021
-1.54 -0.970862588114169
-1.47 -0.962758272014515
-1.4 -0.952809572542964
-1.33 -0.940713857913643
-1.26 -0.925711789691261
-1.19 -0.908235060465416
-1.12 -0.887600625969943
-1.05 -0.863472792677361
-0.98 -0.834256467002214
-0.91 -0.801865388640364
-0.84 -0.765126938590745
-0.77 -0.723808516783053
-0.7 -0.677791154283859
-0.63 -0.627039348751733
-0.56 -0.571611174534454
-0.49 -0.511623228007284
-0.42 -0.447444630126877
-0.35 -0.379372045971622
-0.28 -0.307876573939361
-0.21 -0.233521052858662
-0.14 -0.156946914530847
-0.0699999999999998 -0.0788577159915321
4.44089209850063E-16 5.01101012726718E-16
0.0700000000000003 0.0788577159915326
0.140000000000001 0.156946914530848
0.21 0.233521052858663
0.28 0.307876573939362
0.350000000000001 0.379372045971623
0.42 0.447444630126877
0.49 0.511623228007285
0.56 0.571611174534455
0.630000000000001 0.627039348751733
0.7 0.677791154283859
0.77 0.723808516783054
0.840000000000001 0.765126938590745
0.91 0.801865388640364
0.98 0.834256467002215
1.05 0.863472792677362
1.12 0.887600625969943
1.19 0.908235060465416
1.26 0.925711789691261
1.33 0.940713857913643
1.4 0.952809572542964
1.47 0.962758272014515
1.54 0.970862588114169
1.61 0.977401000930021
1.68 0.982625271417586
1.75 0.98675925236378
1.82 0.989998868359925
1.89 0.991735533591305
1.96 0.993905010308252
2.03 0.995547735911152
2.1 0.99677866822126
2.17 0.997691480762214
2.24 0.998361403500862
2.31 0.99884801164909
2.38 0.999197844032463
2.45 0.999446775494725
2.52 0.999622103286331
2.59 0.999744335013128
2.66 0.999828685859756
2.73 0.999886306294505
2.8 0.99992526941427
2.87 0.999951350692202
2.94 0.999968633296649
3.01 0.999979970380606
3.08 0.999987332647356
3.15 0.999992065744858
3.22 0.999995078115132
3.29 0.999996976154243
3.36 0.999998160123474
3.43 0.999998891293475
