# tss1 lambdaplusaplus lambdaminusaminus lambdaplusaminus lambdaminusaplus
0 142.403789233656 142.40329202791 142.40329202791 142.403789233656
0.14 138.90320370866 139.181338592907 138.902718725281 139.181824549097
0.28 135.488669959981 136.032283640724 135.488196898516 136.032758601885
0.42 132.15807265344 132.954477802768 132.157611220824 132.95494201767
0.56 128.909348454235 129.946309028329 128.908898364606 129.946762740112
0.7 125.740484748683 127.006201740236 125.740045723207 127.006645186537
0.84 122.649518397395 124.132616009623 122.649090164091 124.133049422706
0.98 119.634534519086 121.324046749372 119.63411681266 121.324470356244
1.12 116.693665304293 118.579022925794 116.693257865972 118.579436948325
1.26 113.82508885825 115.896106788151 113.824691435622 115.896511443194
1.4 111.027028072208 113.273893115616 111.026640419067 113.274288615114
1.54 108.297749522498 110.711008481261 108.297371398688 110.711395032363
1.68 105.635562396662 108.206110532701 105.635193567934 108.20648833787
1.82 103.03881744598 105.757887289022 103.038457683839 105.758256546139
1.96 100.505905963742 103.365056453603 100.505555045314 103.365417356074
2.1 98.0352587886451 101.026364742496 98.0349164965322 101.026717479348
2.24 95.625345332679 98.7405872279977 95.6250114548283 98.740931983983
2.38 93.2746726329165 96.5065266970718 93.2743469624877 96.5068636527618
2.52 90.981784426608 94.3230130242916 90.9814667618452 94.3233423561723
2.66 88.7452602490141 92.1889025589669 88.7449503931213 92.1892244395312
2.8 86.5637145534151 90.1030775261382 86.5634123144337 90.1033921239762
2.94 84.4357958527522 88.0644454411244 84.4355010434426 88.0647529210119
3.08 82.3601858823697 86.0719385373158 82.3598983200947 86.0722390603004
3.22 80.3355987833374 84.1245132069146 80.3353182899497 84.1248069304
3.36 78.3607803058502 82.2211494543276 78.3605067075817 82.2214365321564
3.5 76.434507032209 80.3608503619277 76.4342401595631 80.3611309444615
3.64 74.5555856189023 78.5426415679019 74.555325306549 78.5429158021002
3.78 72.7228520573194 76.765570755913 72.7225981439928 76.7658387854106
3.92 70.9351709526365 75.0287071563095 70.9349232810351 75.0289691214911
4.06 69.1914348204297 73.3311410586189 69.1911932371186 73.331397096693
4.2 67.4905634005782 71.6719833350727 67.4903277558945 71.6722335801434
4.34 65.8315029880338 70.050364974911 65.8312731359936 70.0506095580483
4.48 64.2132257800412 68.4654366292243 64.2130015782489 68.4656756785325
4.62 62.6347292394044 66.916368166093 62.6345105489651 66.916601806778
4.76 61.0950354734069 65.4023482357924 61.0948221588399 65.4025765902274
4.9 59.5931906279977 63.9225838458352 59.5929825571528 63.9228070336244
5.04 58.1282642968705 62.4762999456287 58.1280613408458 62.4765180836705
5.18 56.6993489450685 61.0627390205298 56.699150978131 61.0629522230775
5.32 55.3055593467586 59.681160695084 55.305366246266 59.6813690738058
5.46 53.9460320368259 58.3308413452419 53.9458436831508 58.3310450092796
5.6 52.6199247759495 57.0110737193496 52.619741052405 57.0112727753756
5.74 51.3264160288275 55.7211665677139 51.3262368215953 55.7213611199869
5.88 50.0647044552288 54.4604442805491 50.0645296532883 54.460634430969
6.02 48.8340084135553 53.2282465341155 48.8338379086153 53.2284323822768
6.16 47.6335654766085 52.0239279448643 47.6333991630396 52.0241095881079
6.3 46.4626319592584 50.846857731407 46.4624697340278 50.8470352648715
6.44 45.3204824577243 49.696419384134 45.3203242203321 49.6965929008055
6.58 44.2064094001808 48.5720103423074 44.2062550525974 48.5721799330679
6.72 43.1197226084101 47.4730416784598 43.1195720550159 47.4732074321354
6.86 42.0597488702313 46.3989377899347 42.0596020177571 46.3990997933414
7 41.0258315224386 45.3491360974045 41.0256882799081 45.3492944353943
7.14 40.0173300439933 44.3230867502109 40.0171903226663 44.3232415057159
7.28 39.0336196592147 43.3202523383716 39.0334833725326 43.3204035924476
7.42 38.0740909507262 42.3401076111032 38.0739580142583 42.3402554429718
7.56 37.138149481916 41.3821392017124 37.1380198133069 41.382283688803
7.7 36.2252154286781 40.4458453587119 36.2250889475969 40.445986576702
7.84 35.334723220206 39.5307356830201 35.3345998482965 39.5308737058749
7.98 34.4661211886166 38.6363308711065 34.4660008494489 38.6364657711176
8.12 33.6188712271871 37.7621624639486 33.6187538462101 37.7622943117722
8.26 32.7924484569933 36.9077726016691 32.7923339614882 36.9079014663626
8.4 31.9863409017416 36.0727137837244 31.9862292207776 36.0728397327828
8.54 31.2000491705961 35.2565486345187 31.1999402349857 35.2566717339097
8.68 30.4330861488008 34.4588496743213 30.4329798910575 34.4589699885204
8.82 29.6849766959081 33.6791990953679 29.6848730502043 33.6793166873915
8.96 28.9552573514247 32.9171885430261 28.955156253551 32.917303474465
9.1 28.243476047694 32.1724189019137 28.2433774350193 32.1725312329651
9.24 27.5491918298359 31.4445000868553 27.5490956412687 31.4446098763544
9.38 26.8719745825714 30.7330508385687 26.8718807585221 30.7331581440194
9.52 26.2114047637624 30.0376985239744 26.2113132461061 30.0378034015798
9.66 25.5670731445013 29.358078941023 25.5669838765421 29.3581814457145
9.8 24.9385805555907 28.6938361279385 24.9384934820262 28.6939363134045
9.94 24.3255376402537 28.0446221767771 24.325452707141 28.0447200954914
10.08 23.7275646129244 27.4100970512054 23.7274817676468 27.4101927544545
10.22 23.1442910239673 26.7899284084005 23.1442102152014 26.7900219463105
10.36 22.5753555301803 26.1837914249801 22.5752767078644 26.183882846543
10.5 22.0204056709395 25.591368626871 22.0203287862423 25.5914579799704
10.64 21.4790976498464 25.012349723027 21.4790226551373 25.012437054463
10.78 20.9510961217435 24.4464314429088 20.9510229705625 24.4465167984226
10.92 20.4360739849643 23.8933173776412 20.4360026319936 23.8934008019392
11.06 19.9337121786915 23.3527178247641 19.9336425797274 23.3527993615411
11.2 19.4436994852957 22.8243496364963 19.4436315972209 22.8244293284586
11.34 18.9657323375331 22.3079360714321 18.9656661182904 22.3080139603195
11.48 18.4995146304834 21.8032066495933 18.4994500390494 21.8032827762015
