# npoints errplain rerrplain errscalplain errquasi reerrquasi
10 0.598180426002481 0.351523435284602 0.316227766016838 0.216296097270109 0.353429173528852
210 0.120281822479383 0.0326593844954304 0.0690065559342354 0.0324651624099421 0.0354130421889027
410 0.0893249681756628 0.0178301343825149 0.0493864798324795 0.0287225030713936 0.0200839240716344
610 0.0732102100819726 0.0630412727222174 0.0404888165089458 0.0113450002546864 0.0137303854128783
810 0.0632661070066874 0.0125823238511016 0.0351364184463153 0.00799188353039826 0.0117491565531389
1010 0.0561364636661349 0.0630270860952904 0.0314658387763776 0.005319817992119 0.00653080929495875
1210 0.0512676310158338 0.0686289842832006 0.0287479787288034 0.00577761278048783 0.00765976191769013
1410 0.0478716940837343 0.0341923845179606 0.0266311820645654 0.00581838769683074 0.0057638512157574
1610 0.0456595375139844 0.0107078651156627 0.0249222393139613 0.00603392853249218 0.00630932967539044
1810 0.0427635433727843 0.0436258992929459 0.0235050247361134 0.00644088211495619 0.00509010420554734
2010 0.0403169487169154 0.0421496834334274 0.0223049868372735 0.00209474067621329 0.00399750814275857
2210 0.0389083876486369 0.0480457652941411 0.0212717814905759 0.00415824890351413 0.00434026328807668
2410 0.0367574103247614 0.0307662392938184 0.0203700210931678 0.00464129858327578 0.00458093764747414
2610 0.0355229999257832 0.0240126255479174 0.0195740073171568 0.00318959262221208 0.00402537717096862
2810 0.0343045496451874 0.00230073666412967 0.0188645669476136 0.00502890611302531 0.00318423841129434
3010 0.0329811726272387 0.0326906074652933 0.0182270654144122 0.00406650858518676 0.0029400449054191
3210 0.031955214250981 0.0154538202616359 0.0176501127404552 0.00482399190244864 0.00326436846169642
3410 0.0311888628804131 0.00999205936890357 0.0171246936312685 0.00266040614532992 0.00340399783634338
3610 0.0302259592466038 0.024152864639619 0.0166435666324652 0.00258670334585487 0.00269360227545912
3810 0.0288962154424259 0.0135110243268404 0.0162008392252084 0.00223168131747764 0.00252321721723847
4010 0.0285644206302938 0.0322087866727303 0.0157916610463716 0.00279576035023865 0.00240349159358733
4210 0.0276322498280596 0.00418127451336359 0.0154119982874188 0.00248771856845709 0.00215941499748284
4410 0.027305735799201 0.00516268930463681 0.0150584650484209 0.001959452805814 0.00234114686913012
4610 0.0265582315115677 0.0586013955991276 0.0147281953984971 0.0013233124238341 0.00161400733441219
4810 0.0260358480190185 0.0433551502683325 0.0144187450182118 0.00298078867226304 0.00247940408220737
