# npoints err reerr errscal piapx pire 
0 NaN NaN Infinity NaN 3.14159265358979
500 0.0814064178143891 0.00440268679660827 0.0447213595499958 3.1459953403864 3.14159265358979
1000 0.0569259490525704 0.0983536411568227 0.0316227766016838 3.23994629474662 3.14159265358979
1500 0.0458016588188711 0.0238376461850716 0.0258198889747161 3.16543029977486 3.14159265358979
2000 0.0408225958850707 0.0800873646768023 0.0223606797749979 3.06150528891299 3.14159265358979
2500 0.0357705322945171 0.0244824250735625 0.02 3.16607507866336 3.14159265358979
3000 0.0329856209109182 0.0238413693496127 0.0182574185835055 3.16543402293941 3.14159265358979
3500 0.0308731059143994 0.0153970468330185 0.0169030850945703 3.12619560675677 3.14159265358979
4000 0.028741721948438 0.00168932620452944 0.0158113883008419 3.14328197979432 3.14159265358979
4500 0.0272887360198368 0.0194954304050583 0.0149071198499986 3.12209722318473 3.14159265358979
5000 0.0256010420911032 0.0202464138646841 0.014142135623731 3.12134623972511 3.14159265358979
5500 0.0241048113890827 0.00824290046526022 0.0134839972492648 3.14983555405505 3.14159265358979
6000 0.0233790454095771 0.0389201672456156 0.0129099444873581 3.18051282083541 3.14159265358979
6500 0.022528975059146 0.0114512414739005 0.0124034734589208 3.13014141211589 3.14159265358979
7000 0.0218264974692975 0.00164656708106259 0.0119522860933439 3.14323922067086 3.14159265358979
7500 0.0208801632041375 0.00488073612469497 0.0115470053837925 3.1367119174651 3.14159265358979
8000 0.0202494434496235 0.00683003940222093 0.0111803398874989 3.14842269299201 3.14159265358979
8500 0.0196567783757514 0.036957324653097 0.0108465228909328 3.17854997824289 3.14159265358979
9000 0.0190598783371051 0.012318981623598 0.0105409255338946 3.1292736719662 3.14159265358979
9500 0.0185970817946965 0.0244364493691802 0.0102597835208515 3.11715620422061 3.14159265358979
10000 0.0179942739057387 0.00985501741155037 0.01 3.13173763617824 3.14159265358979
10500 0.0175789876191427 0.0206021746831286 0.00975900072948533 3.16219482827292 3.14159265358979
11000 0.0173786024105137 0.0180288300940314 0.00953462589245592 3.15962148368382 3.14159265358979
11500 0.0168743858778429 0.0119769426205014 0.00932504808240314 3.12961571096929 3.14159265358979
12000 0.0166846279616353 0.027904793226404 0.00912870929175277 3.11368786036339 3.14159265358979
12500 0.0160945856918867 0.0203733910398318 0.00894427190999916 3.16196604462962 3.14159265358979
13000 0.0158879913815556 0.00556078126243831 0.00877058019307029 3.13603187232735 3.14159265358979
13500 0.0155335823196489 0.0100850236360603 0.0086066296582387 3.13150762995373 3.14159265358979
14000 0.0153093903201298 0.0326547088826672 0.00845154254728517 3.17424736247246 3.14159265358979
14500 0.0150974999947217 0.0106834058857257 0.008304547985374 3.13090924770407 3.14159265358979
15000 0.014855405634468 0.0221476330336055 0.00816496580927726 3.1637402866234 3.14159265358979
15500 0.0145684977726435 0.012979157472512 0.00803219328902499 3.12861349611728 3.14159265358979
16000 0.0143349299926129 0.000445382291216045 0.00790569415042095 3.14114727129858 3.14159265358979
16500 0.0141632590308006 0.0115712453712584 0.00778498944161523 3.13002140821853 3.14159265358979
17000 0.0138110099722592 0.0219463451153232 0.0076696498884737 3.16353899870512 3.14159265358979
17500 0.0137570583648761 0.00346108236001053 0.00755928946018454 3.13813157122978 3.14159265358979
18000 0.013524178697322 0.019123726927595 0.0074535599249993 3.1224689266622 3.14159265358979
18500 0.0133350381899439 0.0106012064150498 0.00735214622093808 3.13099144717474 3.14159265358979
19000 0.0132096965450501 0.00677374551003496 0.00725476250110012 3.13481890807976 3.14159265358979
19500 0.0129274236082066 0.0194392640669134 0.00716114874039433 3.12215338952288 3.14159265358979
20000 0.0128367591451086 0.00863191808854014 0.00707106781186548 3.13296073550125 3.14159265358979
20500 0.0126791010204798 0.00144295864493227 0.00698430295769578 3.14303561223473 3.14159265358979
21000 0.0125008957379666 0.00274125292578065 0.00690065559342354 3.14433390651557 3.14159265358979
21500 0.0123115266228547 0.00660705887713542 0.00681994339470473 3.13498559471266 3.14159265358979
22000 0.0121967604771683 0.0255833283266784 0.00674199862463242 3.11600932526311 3.14159265358979
22500 0.0120807405431816 0.0187033648139914 0.00666666666666667 3.1228892887758 3.14159265358979
23000 0.0118965043192921 0.00379839350888078 0.00659380473395787 3.14539104709867 3.14159265358979
23500 0.011863425117146 0.00201833055917744 0.00652328073053442 3.13957432303062 3.14159265358979
24000 0.0117404039981691 0.00563700436258241 0.00645497224367903 3.13595564922721 3.14159265358979
24500 0.0116689405501344 0.00367231876007956 0.0063887656499994 3.13792033482971 3.14159265358979
