# rre fre rdif fdif
0 0 0.1 0.09
0.0157684630738523 0.0155217687528626 0.1158 0.102426599014177
0.0315369261477046 0.0305578678263006 0.1316 0.114437058062409
0.0473053892215569 0.0451196945218042 0.1474 0.126041869202393
0.0630738522954092 0.0592184083963189 0.1632 0.137251193416948
0.0788423153692615 0.0728649359115757 0.179 0.148074898336221
0.0946107784431138 0.0860699749961355 0.1948 0.158522584450653
0.110379241516966 0.0988439995217417 0.2106 0.168603604313534
0.126147704590818 0.111197263695544 0.2264 0.178327077264266
0.141916167664671 0.123139806369735 0.2422 0.187701901169947
0.157684630738523 0.134681455270097 0.258 0.19673676211025
0.173453093812375 0.145831831144962 0.2738 0.205440142598321
0.189221556886228 0.156600351836014 0.2896 0.213820328729861
0.20499001996008 0.166996236272389 0.3054 0.221885416527189
0.220758483033932 0.177028508389457 0.3212 0.22964331766436
0.236526946107784 0.186706000973674 0.337 0.237101764706021
0.252295409181637 0.19603735943486 0.3528 0.244268315956456
0.268063872255489 0.205031045507228 0.3686 0.251150359990284
0.283832335329341 0.213695340880468 0.3844 0.257755119918573
0.299600798403194 0.222038350762178 0.4002 0.264089657431476
0.315369261477046 0.230068007372892 0.416 0.270160876649251
0.331137724550898 0.237792073374945 0.4318 0.275975527806685
0.346906187624751 0.245218145236396 0.4476 0.281540210790832
0.362674650698603 0.252353656531186 0.4634 0.286861378548066
0.378443113772455 0.259205881176727 0.4792 0.291945340373488
0.394211576846307 0.265781936610043 0.495 0.296798265093406
0.40998003992016 0.272088786903622 0.5108 0.301426184149786
0.425748502994012 0.278133245822063 0.5266 0.305834994594152
0.441516966067864 0.283921979820626 0.5424 0.31003046199726
0.457285429141717 0.289461510986749 0.5582 0.31401822327997
0.473053892215569 0.294758219925575 0.574 0.317803789469968
0.488822355289421 0.299818348590533 0.5898 0.321392548388412
0.504590818363273 0.304648003059976 0.6056 0.324789767270057
0.520359281437126 0.309253156260883 0.6214 0.328000595320004
0.536127744510978 0.313639650640585 0.6372 0.331030066209876
0.55189620758483 0.31781320078749 0.653 0.333883100515945
0.567664670658683 0.32177939600174 0.6688 0.336564508101458
0.583433133732535 0.325543702816731 0.6846 0.339078990445243
0.599201596806387 0.329111467472395 0.7004 0.341431142918467
0.61497005988024 0.332487918341149 0.7162 0.343625457011285
0.630738522954092 0.33567816830738 0.732 0.34566632251098
0.646506986027944 0.338687217101318 0.7478 0.347558029633076
0.662275449101796 0.341519953588157 0.7636 0.349304771106819
0.678043912175649 0.344181158013248 0.7794 0.350910644216318
0.693812375249501 0.346675504204168 0.7952 0.352379652798573
0.709580838323353 0.349007561730479 0.811 0.353715709199542
0.725349301397206 0.351181798021955 0.826800000000001 0.354922636189344
0.741117764471058 0.353202580446046 0.842600000000001 0.356004168837626
0.75688622754491 0.355074178345341 0.858400000000001 0.356963956350093
0.772654690618762 0.356800765035773 0.874200000000001 0.357805563867146
0.788423153692615 0.358386419766286 0.890000000000001 0.358532474225522
0.804191616766467 0.359835129640698 0.905800000000001 0.359148089683811
0.819960079840319 0.361150791502444 0.921600000000001 0.359655733612684
0.835728542914172 0.36233721378291 0.937400000000001 0.36005865215063
0.851497005988024 0.363398118314013 0.953200000000001 0.360360015825982
0.867265469061876 0.364337142105718 0.969000000000001 0.360562921145971
0.883033932135729 0.365157839089125 0.984800000000001 0.360670392153542
0.898802395209581 0.365863681825781 1.0006 0.360685381952619
0.914570858283433 0.366458063183839 1.0164 0.360610774202507
0.930339321357285 0.366944297981689 1.0322 0.360449384582088
0.946107784431138 0.367325624599668 1.048 0.360203962224447
0.96187624750499 0.367605206560438 1.0638 0.359877191122544
0.977644710578842 0.367786134078633 1.0796 0.359471691506553
0.993413173652695 0.367871425580326 1.0954 0.358990021193436
1.00918163672655 0.367864029192911 1.1112 0.358434676909341
1.0249500998004 0.367766824205927 1.127 0.357808095585371
1.04071856287425 0.367582622503386 1.1428 0.357112655627272
1.0564870259481 0.367314169968127 1.1586 0.356350678159574
1.07225548902196 0.366964147858735 1.1744 0.355524428244699
1.08802395209581 0.366535174159519 1.1902 0.354636116077539
1.10379241516966 0.366029804904083 1.206 0.353687898156009
1.11956087824351 0.365450535472953 1.2218 0.352681878428044
1.13532934131737 0.364799801865778 1.2376 0.351620109415519
1.15109780439122 0.364079981948563 1.2534 0.350504593315555
1.16686626746507 0.363293396676412 1.2692 0.349337283079651
1.18263473053892 0.362442311292243 1.285 0.348120083471101
1.19840319361277 0.361528936501921 1.3008 0.346854852101109
1.21417165668663 0.360555429626262 1.3166 0.345543400444029
1.22994011976048 0.359523895730336 1.3324 0.344187494832158
1.24570858283433 0.358436388730503 1.3482 0.342788857430457
1.26147704590818 0.357294912479602 1.364 0.341349167191629
1.27724550898204 0.356101421830699 1.3798 0.339870060791913
1.29301397205589 0.354857823679811 1.3956 0.338353133547988
1.30878243512974 0.353565977987989 1.4114 0.336799940315363
1.32455089820359 0.352227698783166 1.4272 0.335211996368602
1.34031936127745 0.350844755142143 1.443 0.333590778263751
1.3560878243513 0.349418872153085 1.4588 0.331937724683316
1.37185628742515 0.347951731858915 1.4746 0.330254237264128
1.387624750499 0.346444974181946 1.4904 0.32854168140844
1.40339321357285 0.344900197830123 1.5062 0.326801387078576
1.41916167664671 0.343318961185216 1.522 0.325034649575458
1.43493013972056 0.341702783173311 1.5378 0.323242730301323
1.45069860279441 0.340053144117933 1.5536 0.321426857506948
1.46646706586826 0.338371486576133 1.5694 0.31958822702368
1.48223552894212 0.336659216157859 1.5852 0.317728002980563
