# xs ys ysn ysd ysdn ys2d ys2dn ysad ysadn
-1 0.35322690848236 0.411148903946005 0.192497730304415 -0.652703479272391 -10.1800432417355 -6.65780663804432 0.234196123347542 0.236107515861272
-0.992 0.354437358390349 0.40571225512856 0.109648268079707 -0.706704055032333 -10.5298805273873 -6.84179286123221 0.237025455244506 0.239375248502963
-0.984 0.35497397754457 0.399837750809419 0.0240604414902119 -0.762162542985608 -10.8644182304035 -7.02216979335549 0.239861894520294 0.242597744308131
-0.976 0.354815362422296 0.393513850622215 -0.0641381790320529 -0.819047271052981 -11.1823646310423 -7.19823298554775 0.242699965322885 0.245771454102398
-0.968 0.353941171278028 0.386729290437874 -0.154809736146348 -0.87732081251532 -11.4824404111679 -7.36924838553063 0.245534024302803 0.248892737462716
-0.96 0.352332205997635 0.37947312933836 -0.247806201439345 -0.936939753256628 -11.7633828196529 -7.53445338772979 0.248358269458159 0.251957865113915
-0.952 0.349970492891936 0.371734798416772 -0.342969524797408 -0.997854468197786 -12.0239498888705 -7.69305808193323 0.251166749630699 0.254963021708395
-0.944 0.346839362159934 0.363504151323854 -0.440131817671724 -1.06000890853471 -12.2629246891977 -7.84424670671148 0.253953374643198 0.257904309003275
-0.936 0.342923525749487 0.354771516467849 -0.539115570486548 -1.12334040144131 -12.4791196079979 -7.9871793130347 0.256713837834001 0.260777749448579
-0.928 0.338209153341635 0.345527750761222 -0.639733904330886 -1.18777946393772 -12.6713806391458 -8.12099364265181 0.259440208333339 0.26357929019929
-0.92 0.332683946184128 0.335764294794005 -0.74179085696099 -1.25324963265694 -12.8385916687889 -8.24480722484434 0.262125555670348 0.266304807563174
-0.912 0.326337208499956 0.325473229299565 -0.845081703025214 -1.31966731126803 -12.9796787427212 -8.35771969413172 0.264763352628078 0.268950111895243
-0.904 0.319159916197827 0.314647332764445 -0.94939330830476 -1.38694163732993 -13.0936143004734 -8.45881533038914 0.267346992959136 0.271510952948636
-0.896 0.311144782613708 0.303280140019717 -1.05450451764367 -1.45497437035723 -13.1794213610002 -8.54716582164585 0.269869805024596 0.273983025690411
-0.888 0.30228632101563 0.291366001637033 -1.16018657611977 -1.52365980287618 -13.2361776446752 -8.6218332485641 0.273090717639434 0.27636197658941
-0.88 0.292580903608013 0.278900143938369 -1.26620358288553 -1.59288469623582 -13.2630196161896 -8.68187328826194 0.275388345740629 0.278643410381882
-0.872 0.282026816776864 0.265878729414459 -1.37231297698411 -1.66252824291521 -13.2591464328881 -8.72633863374132 0.27760873896886 0.280822897318954
-0.864 0.270624312323235 0.252298917333073 -1.47826605432232 -1.7324620570316 -13.2238237830735 -8.75428262372238 0.279745127680765 0.282895980898371
