#r #un1 #un2l0 #un2l1 #urealn1 #urealn2l0 #urealn2l1
0.05 0.000296666146798434 -3.34049507426607E-05 -3.34049507426607E-05 0.0951229424500714 0.0336203523119923 0.000497710755322534
0.1 0.000622279117753977 -7.01187758460323E-05 -7.01187758460323E-05 0.180967483607192 0.06389897377022 0.0019416889319567
0.15 0.000977496230901627 -0.000110272166175016 -0.000110272166175016 0.258212392927517 0.0910219023158589 0.00426093403817943
0.2 0.00136292488740005 -0.000153996913106742 -0.000153996913106742 0.327492301231193 0.11516700134962 0.00738796658121833
0.25 0.00177911984989384 -0.00020142581129128 -0.00020142581129128 0.389400391535702 0.13650427529237 0.0112586828693692
0.3 0.00222658059415797 -0.000252692558517893 -0.000252692558517893 0.444490932409031 0.155196173921635 0.0158122151983863
0.35 0.00270574874167146 -0.000307931652733348 -0.000307931652733348 0.493281662803099 0.171397885861288 0.0209907972358736
0.4 0.00321700558068003 -0.000367278286262217 -0.000367278286262217 0.536256036828512 0.185257621589571 0.0267396344235422
0.45 0.00376066968320119 -0.000430868237282407 -0.000430868237282407 0.573865336459596 0.196916886318803 0.0330067792231386
0.5 0.00433699462529903 -0.000498837758612542 -0.000498837758612542 0.606530659712633 0.206510743088694 0.0397430110376024
0.55 0.00494616681781102 -0.000571323463871128 -0.000571323463871128 0.634644791418535 0.21416806640414 0.0469017206445783
0.6 0.00558830345454441 -0.000648462211070775 -0.000648462211070775 0.658573963312832 0.22001178673765 0.0544387989848026
0.65 0.00626345058477676 -0.000730390983714031 -0.000730390983714031 0.678659509789321 0.224159126206164 0.0623125301531008
0.7 0.0069715813166929 -0.000817246769460677 -0.000817246769460677 0.695219425307973 0.226721825721981 0.070483488444788
0.75 0.0077125941581699 -0.000909166436439592 -0.000909166436439592 0.708549829111522 0.227806363907769 0.0789144393151563
0.8 0.00848631150108322 -0.0010062866072815 -0.0010062866072815 0.718926342587555 0.227514168056198 0.0875702441144665
0.85 0.00929247825505058 -0.00110874353095213 -0.00110874353095213 0.726605384312835 0.225941817405591 0.0964177684654477
0.9 0.0101307606362562 -0.00121667295246851 -0.00121667295246851 0.731825387533078 0.223181238994164 0.105425794154745
0.95 0.0110007451167077 -0.00133020998058407 -0.00133020998058407 0.734807944563552 0.219319896346816 0.114564934414049
1 0.0119019375389703 -0.00144948895353169 -0.00144948895353169 0.735758882342885 0.214440971240177 0.123807552470801
1.05 0.0128337624011016 -0.00157464330291632 -0.00157464330291632 0.734869273133426 0.208623538783538 0.133127683252386
1.1 0.0137955623161698 -0.00170580541585226 -0.00170580541585226 0.732316384135775 0.201942736045546 0.142500958131627
1.15 0.014786597650388 -0.00184310649544302 -0.00184310649544302 0.728264569571822 0.194469924448966 0.151904532605155
1.2 0.0158060463435299 -0.00198667641970418 -0.00198667641970418 0.722866108589285 0.186272846148562 0.161317016799885
1.25 0.016853003914912 -0.00213664359903318 -0.00213664359903318 0.716261992150475 0.17741577460002 0.170718408706346
1.3 0.017926483657836 -0.00229313483233206 -0.00229313483233206 0.708582661888433 0.167959659521068 0.180090030041047
1.35 0.019025417024983 -0.00245627516189229 -0.00245627516189229 0.699948703743907 0.157962266439238 0.18941446464334
1.4 0.0201486542068328 -0.00262618772715327 -0.00262618772715327 0.690471499036498 0.147478311014365 0.198675499315475
1.45 0.0212949649047628 -0.00280299361744877 -0.00280299361744877 0.680253835472013 0.136559588317681 0.20785806701759
1.5 0.0224630393000433 -0.0029868117238579 -0.0029868117238579 0.669390480445289 0.125255097243332 0.216948192332431
1.55 0.023651489219507 -0.00317775859027968 -0.00317775859027968 0.657968718862903 0.113611160222349 0.225932939117433
1.6 0.0248588494982225 -0.00337594826385276 -0.00337594826385276 0.646068857582897 0.101671538403461 0.234800360264645
1.65 0.0260835795390458 -0.00358149214484367 -0.00358149214484367 0.633764698448488 0.0894775424596518 0.243539449491672
1.7 0.0273240650684659 -0.00379449883612978 -0.00379449883612978 0.621123981779298 0.0770681391741395 0.25214009508942
1.75 0.0285786200876953 -0.0040150739924044 -0.0040150739924044 0.608208802076558 0.0644800539542672 0.260593035555005
1.8 0.0298454890174923 -0.00424332016923427 -0.00424332016923427 0.595075997597712 0.0517478694169113 0.26888981704059
1.85 0.0311228490347308 -0.00447933667210085 -0.00447933667210085 0.581777515360422 0.0389041201841765 0.277022752551345
1.9 0.0324088125982651 -0.00472321940555911 -0.00472321940555911 0.568360753046013 0.0259793840235318 0.284984882827969
1.95 0.03370143016117 -0.00497506072264892 -0.00497506072264892 0.554868879187403 0.0130023694620408 0.292769938851477
2 0.0349986930659645 -0.00523494927469581 -0.00523494927469581 0.541341132946451 0 0.300372305910085
2.05 0.0362985366189671 -0.00550296986163932 -0.00550296986163932 0.527813104709997 -0.0130025049549085 0.307786989170091
2.1 0.0375988433394658 -0.00577920328302861 -0.00577920328302861 0.514316998662524 -0.0259815523159138 0.3150095806947
2.15 0.0388974463789288 -0.0060637261898261 -0.0060637261898261 0.500881878426037 -0.0389151005948041 0.322036227856638
2.2 0.0401921331050341 -0.00635661093716113 -0.00635661093716113 0.487533896794269 -0.0517825881196418 0.328863603092319
2.25 0.041480648844848 -0.00665792543817679 -0.00665792543817679 0.47429651052839 -0.0645648640869469 0.335488874947114
2.3 0.0427607007810479 -0.00696773301911366 -0.00696773301911366 0.461190681124897 -0.0772441223463206 0.341909680363062
2.35 0.0440299619946597 -0.0072860922757753 -0.0072860922757753 0.448235062413083 -0.0898038378189396 0.348124098162033
