# dr ε₀
0.05 -0.499687148171547
0.1 -0.498755453842493
0.15 -0.49721776630508
0.2 -0.495096746302708
0.25 -0.492421630227781
0.3 -0.489228337557277
0.35 -0.4855577823125
0.4 -0.48145489301095
0.45 -0.476964507798796
0.5 -0.472134576662476
