# rmax ε₀
1 2.99340321773425
1.5 0.437164165450274
2 0.0448720321888052
2.5 -0.291231756138317
3 -0.410234150616596
3.5 -0.438751116521278
4 -0.468520949033837
4.5 -0.480804478401371
5 -0.483890158307919
5.5 -0.487118884751691
6 -0.488413497045488
6.5 -0.488726196120953
7 -0.489040841986679
7.5 -0.489160012576655
8 -0.489187566857396
8.5 -0.48921437073696
9 -0.489224088542678
9.5 -0.489226266853895
10 -0.489228337557277
